Name,Stars,CreatedAt,AgeInYears,Url,ReleasesCount,AvgCbo,AvgDit,AvgLcom,CkClassRows,TotalLoc,CommentLines
Snailclimb/JavaGuide,154501,05/07/2018 13:27:00,7,https://github.com/Snailclimb/JavaGuide.git,0,0,0,0,0,0,0
krahets/hello-algo,124114,11/04/2022 11:08:34,3,https://github.com/krahets/hello-algo.git,0,1.841860465116279,1,4.706976744186046,215,32725,7900
GrowingGit/GitHub-Chinese-Top-Charts,107124,09/05/2019 03:01:56,6,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts.git,0,0,1,0,1,7,1
iluwatar/java-design-patterns,93845,08/09/2014 16:45:18,11,https://github.com/iluwatar/java-design-patterns.git,0,3.3603015075376885,1.1959798994974875,1.8276381909547739,1990,121587,59244
macrozheng/mall,83246,04/04/2018 01:11:44,7,https://github.com/macrozheng/mall.git,0,3.876315789473684,1.2394736842105263,1110.803947368421,760,85643,3050
spring-projects/spring-boot,80311,10/19/2012 15:02:57,13,https://github.com/spring-projects/spring-boot.git,0,5.491434305784532,1.2884381047953553,12.943588273242062,13951,857206,223352
doocs/advanced-java,78922,10/06/2018 11:38:30,7,https://github.com/doocs/advanced-java.git,0,0,1,0,1,8,3
MisterBooo/LeetCodeAnimation,76702,12/06/2018 08:01:22,7,https://github.com/MisterBooo/LeetCodeAnimation.git,0,1,1,0,4,303,16
elastic/elasticsearch,76408,02/08/2010 13:20:56,16,https://github.com/elastic/elasticsearch.git,0,0,0,0,0,5502094,588438
NationalSecurityAgency/ghidra,66235,03/01/2019 03:27:48,7,https://github.com/NationalSecurityAgency/ghidra.git,0,0,0,0,0,3160310,707593
TheAlgorithms/Java,65288,07/16/2016 10:21:02,9,https://github.com/TheAlgorithms/Java.git,0,2.0756634669678147,1.0383963862224732,11.20496894409938,1771,133541,31040
kdn251/interviews,64939,02/14/2017 18:19:25,9,https://github.com/kdn251/interviews.git,0,1.3929961089494163,1.0077821011673151,0.2918287937743191,257,22271,6563
spring-projects/spring-framework,59780,12/08/2010 04:04:45,15,https://github.com/spring-projects/spring-framework.git,0,5.184530151289154,1.4478478585126784,29.501385041551245,18772,1510026,422478
termux/termux-app,52550,10/23/2015 09:42:46,10,https://github.com/termux/termux-app.git,0,5.912772585669782,1.4299065420560748,60.82554517133956,321,44908,10632
google/guava,51509,05/29/2014 16:23:17,11,https://github.com/google/guava.git,0,4.128724472715099,1.8033143622363577,51.44107800468698,5974,790206,191356
dbeaver/dbeaver,49309,10/21/2015 08:26:28,10,https://github.com/dbeaver/dbeaver.git,0,0,0,0,0,870020,143102
ReactiveX/RxJava,48466,01/08/2013 20:11:48,13,https://github.com/ReactiveX/RxJava.git,0,2.2686391527275784,1.3120954862570395,47.883584096831136,11897,480096,81861
skylot/jadx,47820,03/18/2013 17:08:21,13,https://github.com/skylot/jadx.git,0,4.219733852645245,1.5920155793573516,32.29568321973385,3081,182884,6942
jeecgboot/JeecgBoot,45594,11/26/2018 10:40:00,7,https://github.com/jeecgboot/JeecgBoot.git,0,7.225027442371021,1.1767288693743139,55.87047200878156,911,116918,35537
apache/dubbo,41711,06/19/2012 07:56:02,13,https://github.com/apache/dubbo.git,0,5.354007249295208,1.2847362062021748,45.780708819975835,4966,479980,104793
PhilJay/MPAndroidChart,38228,04/25/2014 14:29:47,11,https://github.com/PhilJay/MPAndroidChart.git,0,8.61437908496732,1.9477124183006536,91.0326797385621,306,42872,9028
halo-dev/halo,38156,03/21/2018 12:56:52,8,https://github.com/halo-dev/halo.git,0,7.5046904315197,1.237648530331457,7.6554096310193875,1599,112179,10269
TeamNewPipe/NewPipe,37672,09/03/2015 23:39:26,10,https://github.com/TeamNewPipe/NewPipe.git,0,8.498015873015873,1.7182539682539681,47.87301587301587,504,64815,8442
eugenp/tutorials,37348,04/29/2013 18:26:36,12,https://github.com/eugenp/tutorials.git,0,4.116712819677472,1.1113780746049846,5.890820980615736,24556,1061387,35440
alibaba/arthas,37215,08/29/2018 17:15:57,7,https://github.com/alibaba/arthas.git,0,4.638868205510052,1.361131794489948,30.198808637379003,1343,102077,15300
YunaiV/ruoyi-vue-pro,36058,01/24/2021 03:18:25,5,https://github.com/YunaiV/ruoyi-vue-pro.git,0,8.15058219853957,1.222814288533649,13.586540359186895,5067,385164,87355
geekxh/hello-algorithm,36038,05/29/2020 05:47:09,5,https://github.com/geekxh/hello-algorithm.git,0,1.3333333333333333,1,1,3,3167,922
doocs/leetcode,35829,09/16/2018 14:03:03,7,https://github.com/doocs/leetcode.git,0,2.738372093023256,1.005813953488372,0.436046511627907,172,114260,5989
airbnb/lottie-android,35603,10/06/2016 22:42:42,9,https://github.com/airbnb/lottie-android.git,0,6.721649484536083,1.288659793814433,35.80068728522337,291,27520,3836
ashishps1/awesome-system-design-resources,35593,10/25/2023 01:50:42,2,https://github.com/ashishps1/awesome-system-design-resources.git,0,0.8181818181818182,1,0,11,461,13
bumptech/glide,35032,07/08/2013 22:52:33,12,https://github.com/bumptech/glide.git,0,5.843072882468811,1.226526592252134,20.09258043335522,1523,113062,14975
netty/netty,34900,11/09/2010 09:22:21,15,https://github.com/netty/netty.git,0,4.295402298850575,1.493742017879949,69.05657726692209,7830,619326,136605
SeleniumHQ/selenium,34187,01/14/2013 21:40:56,13,https://github.com/SeleniumHQ/selenium.git,0,5.6431654676258995,1.358273381294964,33.50263788968825,2085,198273,35233
xkcoding/spring-boot-demo,34111,11/10/2017 06:27:29,8,https://github.com/xkcoding/spring-boot-demo.git,0,5.035343035343035,1.130977130977131,2.3264033264033266,481,22469,7427
zxing/zxing,33905,10/12/2011 14:07:27,14,https://github.com/zxing/zxing.git,0,4.91652754590985,1.7095158597662772,22.81135225375626,599,73909,17713
alibaba/easyexcel,33769,02/06/2018 03:14:08,8,https://github.com/alibaba/easyexcel.git,0,6.248214285714286,1.375,32.025,560,43190,10068
Blankj/AndroidUtilCode,33708,07/30/2016 18:18:32,9,https://github.com/Blankj/AndroidUtilCode.git,0,3.9298507462686567,1.346268656716418,144.95373134328358,670,64250,18070
keycloak/keycloak,33602,07/02/2013 13:38:51,12,https://github.com/keycloak/keycloak.git,0,6.856542247744052,1.5065627563576702,71.03178835110747,9752,1088938,187574
alibaba/nacos,32764,06/15/2018 06:49:27,7,https://github.com/alibaba/nacos.git,0,5.289897798742138,1.2733883647798743,22.17295597484277,5088,494368,122131
binarywang/WxJava,32674,01/06/2016 08:24:05,10,https://github.com/binarywang/WxJava.git,0,5.406723917412753,1.2119495706194043,20.955965649552347,5473,365403,135401
apache/kafka,32241,08/15/2011 18:06:16,14,https://github.com/apache/kafka.git,0,7.867139959432048,1.3866351138156412,64.95379761099842,8874,1438026,238533
conductor-oss/conductor,31581,12/08/2023 06:06:09,2,https://github.com/conductor-oss/conductor.git,0,7.431328878990349,1.2264291017074982,60.7728285077951,1347,184094,26832
ityouknow/spring-boot-examples,30637,11/05/2016 05:32:33,9,https://github.com/ityouknow/spring-boot-examples.git,0,4.688405797101449,1.0289855072463767,4.905797101449275,276,19262,560
chinabugotech/hutool,30327,04/13/2014 07:23:51,11,https://github.com/chinabugotech/hutool.git,0,3.4704803813714706,1.2786945361202786,101.06894022735607,2727,302962,116489
xuxueli/xxl-job,29997,11/28/2015 12:59:34,10,https://github.com/xuxueli/xxl-job.git,0,4.988372093023256,1.1569767441860466,24.453488372093023,172,17103,4827
apolloconfig/apollo,29767,03/04/2016 10:24:23,10,https://github.com/apolloconfig/apollo.git,0,7.328662420382166,1.2369426751592356,15.45732484076433,785,79067,14745
alibaba/canal,29647,01/13/2013 10:59:52,13,https://github.com/alibaba/canal.git,0,5.654648956356736,1.3690702087286528,77.03415559772296,1054,124762,19225
yuliskov/SmartTube,29117,07/28/2020 12:53:52,5,https://github.com/yuliskov/SmartTube.git,0,6.530109489051095,1.5337591240875912,66.32968369829683,3288,401418,91888
alibaba/spring-cloud-alibaba,29084,12/01/2017 20:49:15,8,https://github.com/alibaba/spring-cloud-alibaba.git,0,5.920875420875421,1.1094276094276094,29.934343434343436,594,45966,12821
wuyouzhuguli/SpringAll,29011,05/02/2018 02:48:44,7,https://github.com/wuyouzhuguli/SpringAll.git,0,5.129476584022038,1.115702479338843,3.628099173553719,363,23996,1481
DrKLO/Telegram,28765,10/25/2013 14:08:10,12,https://github.com/DrKLO/Telegram.git,0,6.987920860812218,1.6673377299548768,85.34376952447067,14405,1671815,105831
alibaba/druid,28211,11/03/2011 05:12:51,14,https://github.com/alibaba/druid.git,0,5.186965990953259,1.6197017925950745,229.35449824091137,5969,596041,68009
lenve/vhr,28100,01/04/2018 08:57:51,8,https://github.com/lenve/vhr.git,0,4.4361702127659575,1.0212765957446808,48.329787234042556,94,5133,387
Anuken/Mindustry,27048,04/30/2017 01:24:29,8,https://github.com/Anuken/Mindustry.git,0,0,0,0,0,173605,8327
crossoverJie/JCSprout,26999,12/17/2017 09:06:50,8,https://github.com/crossoverJie/JCSprout.git,0,1.962962962962963,1.0925925925925926,1.7654320987654322,162,7058,1409
kestra-io/kestra,26610,08/24/2019 13:56:15,6,https://github.com/kestra-io/kestra.git,0,8.013299013299013,1.4036894036894036,15.413985413985413,2331,208167,15673
qiurunze123/miaosha,26605,09/14/2018 04:36:24,7,https://github.com/qiurunze123/miaosha.git,0,3.712,1.144,13.28,250,15643,2241
OpenAPITools/openapi-generator,26037,05/12/2018 09:57:56,7,https://github.com/OpenAPITools/openapi-generator.git,0,4.776403207331042,1.2536082474226804,85.43344788087056,4365,2115804,491782
apache/incubator-seata,25966,12/28/2018 08:37:22,7,https://github.com/apache/incubator-seata.git,0,6.386162317452717,1.749341632750778,459.6358630596122,4177,456879,109551
apache/flink,25904,06/07/2014 07:00:10,11,https://github.com/apache/flink.git,0,7.152627419992098,1.6298301066772027,35.50663769261162,25310,2567700,504367
alibaba/fastjson,25701,11/03/2011 06:58:52,14,https://github.com/alibaba/fastjson.git,0,1.8327801485696222,1.503556187766714,126.12122648964754,6327,253945,13936
hollischuang/toBeTopJavaer,25459,10/25/2018 09:54:54,7,https://github.com/hollischuang/toBeTopJavaer.git,0,0,0,0,0,0,0
JakeWharton/butterknife,25413,03/05/2013 08:18:59,13,https://github.com/JakeWharton/butterknife.git,0,3.974264705882353,1.2352941176470589,10.481617647058824,272,16073,691
CodePhiliaX/Chat2DB,25288,06/20/2023 14:05:26,2,https://github.com/CodePhiliaX/Chat2DB.git,0,6.031578947368421,1.262200956937799,16.489952153110046,1045,83717,19288
bazelbuild/bazel,25267,06/12/2014 16:00:38,11,https://github.com/bazelbuild/bazel.git,0,7.470621048716995,1.6044998140572704,71.04258088508739,10756,1327861,239526
scwang90/SmartRefreshLayout,25173,06/02/2017 09:52:50,8,https://github.com/scwang90/SmartRefreshLayout.git,0,6.651026392961877,1.5073313782991202,30.319648093841643,341,26122,4324
jenkinsci/jenkins,25137,11/22/2010 21:21:23,15,https://github.com/jenkinsci/jenkins.git,0,6.206453178068899,1.91581756428918,46.519650655021834,4122,330950,86683
libgdx/libgdx,24953,08/10/2012 19:34:38,13,https://github.com/libgdx/libgdx.git,0,5.070100502512563,1.7520100502512563,3534.8874371859297,3980,444971,70023
proxyee-down-org/proxyee-down,24787,10/25/2017 10:07:27,8,https://github.com/proxyee-down-org/proxyee-down.git,0,5.516666666666667,1.4666666666666666,19.516666666666666,60,4688,276
apache/skywalking,24767,11/07/2015 03:30:36,10,https://github.com/apache/skywalking.git,0,6.021362586605081,1.3839491916859123,6.825923787528868,3464,250006,58161
greenrobot/EventBus,24746,07/16/2012 16:55:40,13,https://github.com/greenrobot/EventBus.git,0,3.4262295081967213,1.8360655737704918,9.05464480874317,183,7896,1719
Netflix/Hystrix,24466,11/19/2012 20:14:46,13,https://github.com/Netflix/Hystrix.git,0,3.0678304239401495,1.5456359102244388,20.253865336658354,2005,78643,17104
google/gson,24351,03/19/2015 18:21:20,11,https://github.com/google/gson.git,0,2.9788213627992635,1.279926335174954,20.706261510128915,1086,54275,11702
redisson/redisson,24283,01/11/2014 14:06:25,12,https://github.com/redisson/redisson.git,0,5.659271523178808,1.3052980132450331,166.80761589403974,3020,534737,113357
iBotPeaches/Apktool,24153,03/19/2012 17:46:53,14,https://github.com/iBotPeaches/Apktool.git,0,5.868263473053892,1.778443113772455,53.958083832335326,167,20275,2864
dataease/dataease,23683,02/02/2021 04:10:21,5,https://github.com/dataease/dataease.git,0,4.94434628975265,1.204946996466431,28.448763250883392,1132,75332,6413
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,23571,11/24/2012 00:14:41,13,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,0,2.901098901098901,1,0.23076923076923078,91,2621,739
LSPosed/LSPosed,23256,12/12/2020 08:39:37,5,https://github.com/LSPosed/LSPosed.git,0,5.3489461358313815,1.6323185011709602,48.114754098360656,427,30084,4746
doocs/source-code-hunter,23137,10/28/2019 01:35:10,6,https://github.com/doocs/source-code-hunter.git,0,0,1,0,1,8,3
alibaba/Sentinel,23105,04/04/2018 06:37:33,7,https://github.com/alibaba/Sentinel.git,0,4.285714285714286,1.174456879526004,12.412771560236997,1519,112551,31326
ashishps1/awesome-low-level-design,22942,11/17/2023 10:15:12,2,https://github.com/ashishps1/awesome-low-level-design.git,0,2.6431273644388398,1.1387137452711222,3.0542244640605296,793,20887,743
openjdk/jdk,22740,09/17/2018 12:29:20,7,https://github.com/openjdk/jdk.git,0,0,0,0,0,3050944,1266044
apache/rocketmq,22387,11/30/2016 08:00:08,9,https://github.com/apache/rocketmq.git,0,6.944978455419291,1.3281405369572423,136.52403049386808,3017,373768,50062
kunal-kushwaha/DSA-Bootcamp-Java,22381,07/30/2021 12:23:25,4,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java.git,0,1.292,1.084,3.532,250,10287,831
google/ExoPlayer,21936,06/13/2014 21:19:18,11,https://github.com/google/ExoPlayer.git,0,7.4,1.2905487804878049,52.235975609756096,3280,479128,113284
elunez/eladmin,21934,12/14/2018 08:54:24,7,https://github.com/elunez/eladmin.git,0,7.680851063829787,1.1631205673758864,6.25886524822695,282,23242,8192
oracle/graal,21532,01/14/2016 17:11:35,10,https://github.com/oracle/graal.git,0,0,0,0,0,3050241,750348
CarGuo/GSYVideoPlayer,21430,11/13/2016 12:34:31,9,https://github.com/CarGuo/GSYVideoPlayer.git,0,4.816023738872404,1.532640949554896,52.345697329376854,674,48632,6929
thingsboard/thingsboard,21427,12/01/2016 09:33:30,9,https://github.com/thingsboard/thingsboard.git,0,0,0,0,0,538032,78652
brettwooldridge/HikariCP,21075,10/08/2013 05:43:03,12,https://github.com/brettwooldridge/HikariCP.git,0,4.383783783783784,1.2864864864864864,172.67027027027027,185,21451,4042
apache/shardingsphere,20703,01/18/2016 12:49:26,10,https://github.com/apache/shardingsphere.git,0,7.325474346019984,1.3638711126080612,29.725721342764118,8907,657898,184854
didi/DoKit,20434,08/14/2018 10:32:07,7,https://github.com/didi/DoKit.git,0,4.375398342893563,1.315487571701721,71.76800509878903,1569,121078,28118
mybatis/mybatis-3,20402,02/14/2013 19:03:32,13,https://github.com/mybatis/mybatis-3.git,0,3.5187927107061503,1.215261958997722,21.27107061503417,1756,115412,28399
